timestamp,age,gender,drink_preference,socials_preference,total_spend,weather,return_likelihood
18/06/2023,43,M,whiskey,Twitter,78.08,Sunny,Yes
24/06/2023,46,M,whiskey,Facebook,74.17,Rainy,Yes
22/06/2023,48,M,whiskey,Facebook,69.62,Cloudy,Yes
20/06/2023,49,M,whiskey,Facebook,68.07,Sunny,Yes
21/06/2023,61,F,wine,Facebook,36.04,Sunny,Yes
23/06/2023,35,F,cocktail,TikTok,28.3,Sunny,Yes
04/06/2023,28,F,cocktail,TikTok,42.13,Sunny,No
24/06/2023,64,F,wine,Facebook,59.03,Rainy,No
24/06/2023,41,M,wine,Facebook,80.51,Rainy,No
04/06/2023,18,M,cocktail,TikTok,26.63,Sunny,No
18/06/2023,33,M,whiskey,Facebook,48.99,Sunny,Yes
19/06/2023,64,F,wine,Facebook,21.04,Cloudy,Yes
04/06/2023,49,M,whiskey,Facebook,79.33,Sunny,Yes
18/06/2023,64,F,wine,Facebook,51.73,Sunny,Yes
29/06/2023,71,F,wine,Facebook,36.01,Rainy,Yes
11/06/2023,63,F,wine,Facebook,32.7,Sunny,Yes
25/06/2023,50,M,whiskey,Facebook,70.63,Sunny,Yes
03/06/2023,42,M,wine,Facebook,72.43,Rainy,Yes
08/06/2023,53,M,whiskey,Twitter,62.38,Cloudy,Yes
12/06/2023,61,F,wine,Facebook,59.82,Rainy,Yes
19/06/2023,48,M,wine,Twitter,65.84,Cloudy,No
04/06/2023,35,F,beer,TikTok,28.89,Sunny,No
24/06/2023,62,F,wine,Facebook,56.54,Rainy,No
24/06/2023,23,F,cocktail,Instagram,33.52,Rainy,No
23/06/2023,60,F,wine,Facebook,53.96,Sunny,No
11/06/2023,45,M,wine,Facebook,88.05,Sunny,No
11/06/2023,67,F,wine,Facebook,53.99,Sunny,Yes
12/06/2023,46,M,wine,Facebook,62.35,Rainy,Yes
29/06/2023,47,M,whiskey,Facebook,75.34,Rainy,No
18/06/2023,27,M,beer,TikTok,16.6,Sunny,No
10/06/2023,41,M,wine,Facebook,74.43,Sunny,No
25/06/2023,54,M,whiskey,Facebook,73.51,Sunny,Yes
13/06/2023,45,M,whiskey,Facebook,61.5,Sunny,Yes
24/06/2023,19,M,cocktail,Twitter,39.84,Rainy,Yes
03/06/2023,47,M,whiskey,Facebook,86.29,Rainy,Yes
13/06/2023,23,M,cocktail,TikTok,25.15,Sunny,Yes
03/06/2023,65,F,wine,Facebook,46.71,Rainy,No
19/06/2023,47,M,whiskey,Twitter,74.83,Cloudy,Yes
